Index,InputSize,FLOSS,PermNet,OPMCC,SimplePermNet
0,10,1251.3652067184448,3211.821841239929,38.84828758239746,917.6860303878784
1,12,5983.183742523193,15123.124965667725,154.3838005065918,4266.420029640198
2,14,3089.473602294922,6174.99862575531,864.5386409759521,2007.408670425415
3,16,12403.607362747192,32823.59166622162,3458.1454887390137,8029.655070304871
4,18,67864.73672294617,135685.22846603394,17784.73060798645,40148.275230407715
5,20,228031.50288295746,522163.34046554565,71138.9218826294,154570.75203037262
