Index,InputSize,FLOSS,PermNet,OPMCC,SimplePermNet
0,10,15.7322,39.1995,2.794,13.1457
1,12,64.4706,158.3384,16.482,56.03489999999999
2,14,188.78009999999998,134.04399999999998,102.336,150.63379999999998
3,16,144.3198,164.2792,417.235,149.71089999999998
4,18,276.9849,566.058,2146.826,198.6332
5,20,1270.8809999999999,2842.5638000000004,8596.414,1022.7615
