Index,InputSize,FLOSS,PermNet,OPMCC,SimplePermNet
0,10,15.7264,39.172,1.812,12.9381
1,12,64.4612,158.2837,12.556,55.599
2,14,188.7668,133.8156,80.467,149.4304
3,16,144.2883,162.5211,327.48,144.5708
4,18,276.8775,541.5987,1695.145,158.5206
5,20,1270.3834,2436.0563,6761.546,531.7629
