Index,InputSize,FLOSSRadix,PermNetRadix,SimplePermNetRadix,FLOSSthenSort,PermNetthenSort,SimplePermNetthenSort,OPMCCthenSort,SortingNetwork
0,9,26460.95374107361,44927.66697025299,500.44952392578125,3971.201327784729,4845.180074198914,3805.4653076965333,3404.4386372406007,6308.3072
1,10,67038.48675346375,112117.06403255463,1106.7678833007812,9145.991082328796,11106.606499809264,8814.425522941588,7939.380062240601,15106.274
2,11,112137.26187801361,246679.92065811157,2437.7737426757812,19060.809287406923,23218.660124160768,18230.329187728883,16335.769312240602,36528.27
3,12,224572.5356283188,582418.3669080734,5338.279602050781,41635.413368133544,50775.98212423706,39928.87972727203,35830.238075164794,86819.08
4,13,493920.342628479,1342957.6534080505,11618.035461425781,95164.18594836426,84770.7308244629,90860.2087678833,82186.36386393738,204085.38
