Index,InputSize,FLOSSRadix,PermNetRadix,SimplePermNetRadix,FLOSSthenSort,PermNetthenSort,SimplePermNetthenSort,OPMCCthenSort,SortingNetwork
0,9,5.925689697265625,25.001129150390625,250.22476196289062,41.05945061035156,41.140108569335936,42.013277514648436,44.012224658203124,76.2072
1,10,11.769439697265625,49.219879150390625,553.3839416503906,99.22587561035157,99.38465856933594,101.33949255371094,105.13177465820313,188.514
2,11,23.456939697265625,97.65737915039062,1218.8868713378906,208.82512561035156,209.14015856933594,213.48915759277344,220.63727465820313,457.27
3,12,46.831939697265625,194.53237915039062,2669.1398010253906,460.02962561035156,460.65715856933593,470.25969763183593,483.6542746582031,1091.08
4,13,93.58193969726562,388.2823791503906,5809.017730712891,1058.6426256103516,1059.895158569336,1080.9387376708985,1124.8922746582032,2567.38
