Index,InputSize,FLOSSRadix,PermNetRadix,SimplePermNetRadix,FLOSSthenSort,PermNetthenSort,SimplePermNetthenSort,OPMCCthenSort,SortingNetwork
0,9,226.9971,200.1447,132.7575,126.6399,135.2306,125.2705,119.587,252.796
1,10,334.7675,436.2136,144.8344,300.3564,323.802,297.5681,286.442,533.933
2,11,529.9288,914.5592,162.2631,679.3086999999999,732.3664,672.8338,653.678,1286.66
3,12,976.4234,2076.2012,381.9039,1330.4612,1424.2837,1321.599,1278.556,3087.04
4,13,1972.4606,4774.3815,828.549,3073.1688000000004,3101.1005,3027.1885,2954.549,7284.2
