Index,InputSize,FLOSSRadix,PermNetRadix,SimplePermNetRadix,FLOSSthenSort,PermNetthenSort,SimplePermNetthenSort,OPMCCthenSort,SortingNetwork
0,9,26455.028051376343,44902.6658411026,250.22476196289062,3930.1418771743774,4804.039965629578,3763.4520301818848,3360.4264125823975,6232.1
1,10,67026.71731376648,112067.84415340424,553.3839416503906,9046.765206718444,11007.221841239929,8713.086030387878,7834.248287582397,14917.76
2,11,112113.80493831635,246582.26327896118,1218.8868713378906,18851.984161796572,23009.519965591433,18016.84003013611,16115.132037582398,36071.0
3,12,224525.70368862152,582223.834528923,2669.1398010253906,41175.38374252319,50315.32496566772,39458.620029640195,35346.58380050659,85728.0
4,13,493826.76068878174,1342569.3710289001,5809.017730712891,94105.5433227539,83710.83566589355,89779.2700302124,81061.47158927917,201518.0
