Index,InputSize,FLOSSRadix,PermNetRadix,SimplePermNetRadix,FLOSSthenSort,PermNetthenSort,SimplePermNetthenSort,OPMCCthenSort,SortingNetwork
0,9,227.96259999999998,204.8708,172.9852,134.7904,143.3985,133.5993,128.2268,257.7414
1,10,335.9851,442.0718,198.1379,323.0586,346.52590000000004,320.4721,310.1204,542.5754
2,11,531.476,922.9455,239.0768,725.9211999999999,778.9986,719.7413,702.2495,1307.2623
3,12,978.6214,2088.98,495.4859,1431.7316,1525.5994,1423.2958999999998,1383.743,3137.7411
4,13,1975.6021,4798.138800000001,1006.7836,3311.3783000000003,3339.3881,3266.1389000000004,3203.772,7413.505999999999
