Index,InputSize,FLOSS,PermNet,OPMCC,SimplePermNet
0,10,1251.3970823287964,3212.012499809265,44.786062240600586,919.8315229415894
1,12,5983.309368133545,15123.87812423706,178.13407516479492,4276.775727272034
2,14,3089.9742279052734,6178.001784324646,997.5389156341553,2056.208948135376
3,16,12405.607988357544,32835.594824790955,3990.14603805542,8254.712428092957
4,18,67872.73734855652,135733.23162460327,20520.73225593567,41168.339668273926
5,20,228063.5035085678,522355.343624115,82082.92792510986,159130.82354831696
